University,75earn,Ownership,Control
University of Maine at Machias,37400,1,Public
Central State University,36300,1,Public
Mississippi Valley State University,33600,1,Public
Rosalind Franklin University of Medicine and Science,250000,2,Private Non Profit
Harvard University,170100,2,Private Non Profit
Midwestern University-Glendale,151900,2,Private Non Profit
Massachusetts Institute of Technology,140300,2,Private Non Profit
Samuel Merritt University,138800,2,Private Non Profit
Massachusetts College of Pharmacy and Health Sciences,138300,2,Private Non Profit
Albany College of Pharmacy and Health Sciences,137800,2,Private Non Profit
Stanford University,137100,2,Private Non Profit
Georgetown University,136500,2,Private Non Profit
Princeton University,134800,2,Private Non Profit
Rush University,131100,2,Private Non Profit
Duke University,129500,2,Private Non Profit
University of Pennsylvania,129500,2,Private Non Profit
California Institute of Technology,125400,2,Private Non Profit
Babson College,124700,2,Private Non Profit
University of the Sciences,124400,2,Private Non Profit
Columbia University in the City of New York,121300,2,Private Non Profit
Dartmouth College,119600,2,Private Non Profit
Yale University,116600,2,Private Non Profit
University of the Pacific,116100,2,Private Non Profit
Carnegie Mellon University,111900,2,Private Non Profit
Cornell University,111100,2,Private Non Profit
University of Chicago,110500,2,Private Non Profit
Washington and Lee University,108400,2,Private Non Profit
Charles R Drew University of Medicine and Science,107800,2,Private Non Profit
Claremont McKenna College,107800,2,Private Non Profit
Harvey Mudd College,106800,2,Private Non Profit
Stevens Institute of Technology,105300,2,Private Non Profit
Lehigh University,104900,2,Private Non Profit
Tufts University,104000,2,Private Non Profit
Rensselaer Polytechnic Institute,103400,2,Private Non Profit
University of Notre Dame,103000,2,Private Non Profit
Johns Hopkins University,102800,2,Private Non Profit
Boston College,100200,2,Private Non Profit
Northwestern University,99400,2,Private Non Profit
Bentley University,99400,2,Private Non Profit
Santa Clara University,99200,2,Private Non Profit
University of Southern California,99000,2,Private Non Profit
Villanova University,99000,2,Private Non Profit
Thomas Jefferson University,98900,2,Private Non Profit
Loma Linda University,98700,2,Private Non Profit
Williams College,97000,2,Private Non Profit
Worcester Polytechnic Institute,96600,2,Private Non Profit
Washington University in St Louis,96600,2,Private Non Profit
Bucknell University,96400,2,Private Non Profit
Polytechnic Institute of New York University,96200,2,Private Non Profit
Ohio Northern University,96200,2,Private Non Profit
George Washington University,96100,2,Private Non Profit
Rice University,95600,2,Private Non Profit
Rose-Hulman Institute of Technology,95500,2,Private Non Profit
Case Western Reserve University,95100,2,Private Non Profit
Pepperdine University,94600,2,Private Non Profit
Golden Gate University-San Francisco,94300,2,Private Non Profit
Brown University,94000,2,Private Non Profit
Fairfield University,93700,2,Private Non Profit
Wake Forest University,93600,2,Private Non Profit
University of San Francisco,92800,2,Private Non Profit
Drake University,92800,2,Private Non Profit
Lafayette College,92800,2,Private Non Profit
Vanderbilt University,92700,2,Private Non Profit
College of the Holy Cross,92200,2,Private Non Profit
Cooper Union for the Advancement of Science and Art,91700,2,Private Non Profit
Illinois Institute of Technology,91400,2,Private Non Profit
Kettering University,91000,2,Private Non Profit
Emory University,90800,2,Private Non Profit
Amherst College,90300,2,Private Non Profit
University of Richmond,90300,2,Private Non Profit
New York University,90200,2,Private Non Profit
Colgate University,89900,2,Private Non Profit
Brigham Young University-Provo,89700,2,Private Non Profit
Saint Marys College of California,89400,2,Private Non Profit
Davidson College,87900,2,Private Non Profit
Creighton University,87300,2,Private Non Profit
Clarkson University,87000,2,Private Non Profit
University of Rochester,86900,2,Private Non Profit
Loyola University Maryland,86700,2,Private Non Profit
Hamilton College,85900,2,Private Non Profit
Manhattan College,85600,2,Private Non Profit
Union College,85400,2,Private Non Profit
Boston University,85100,2,Private Non Profit
Art Center College of Design,85000,2,Private Non Profit
Butler University,84900,2,Private Non Profit
Monterey Institute of International Studies,84800,2,Private Non Profit
Middlebury College,84800,2,Private Non Profit
Embry-Riddle Aeronautical University-Prescott,84500,2,Private Non Profit
Embry-Riddle Aeronautical University-Daytona Beach,84500,2,Private Non Profit
Northeastern University,84500,2,Private Non Profit
Embry-Riddle Aeronautical University-Worldwide,84500,2,Private Non Profit
Capitol College,84100,2,Private Non Profit
Molloy College,84100,2,Private Non Profit
Pace University-New York,84000,2,Private Non Profit
Drexel University,84000,2,Private Non Profit
Tulane University of Louisiana,83300,2,Private Non Profit
Trinity College,82900,2,Private Non Profit
Brandeis University,82700,2,Private Non Profit
Barnard College,82000,2,Private Non Profit
Bryant University,81900,2,Private Non Profit
Xavier University of Louisiana,81700,2,Private Non Profit
Loyola Marymount University,81600,2,Private Non Profit
University of San Diego,81600,2,Private Non Profit
Providence College,81400,2,Private Non Profit
Milwaukee School of Engineering,81200,2,Private Non Profit
American University,81100,2,Private Non Profit
Duquesne University,81000,2,Private Non Profit
Wellesley College,80500,2,Private Non Profit
Bowdoin College,80300,2,Private Non Profit
Stonehill College,80100,2,Private Non Profit
Fordham University,80100,2,Private Non Profit
Southern Methodist University,80100,2,Private Non Profit
Rochester Institute of Technology,80000,2,Private Non Profit
Yeshiva University,80000,2,Private Non Profit
Saint Joseph's University,79800,2,Private Non Profit
Alliant International University,79600,2,Private Non Profit
St John's University-New York,79600,2,Private Non Profit
Syracuse University,79500,2,Private Non Profit
Muhlenberg College,79100,2,Private Non Profit
Western New England University,78800,2,Private Non Profit
Menlo College,78600,2,Private Non Profit
University of Scranton,78500,2,Private Non Profit
Seton Hall University,78400,2,Private Non Profit
Trinity University,78400,2,Private Non Profit
Marquette University,78200,2,Private Non Profit
